date,ticker,close,currency,source
2026-09-09,GM,86.32,USD,sheet
2026-09-09,GOOGL,338.36,USD,sheet
2026-09-09,HIMS,28.17,USD,sheet
2026-09-09,HIMX,14.12,USD,sheet
2026-09-09,HOOD,117.34,USD,sheet
2026-09-09,IBIT,44.39,USD,sheet
2026-09-09,IBM,232.09,USD,sheet
2026-09-09,INTC,104.47,USD,sheet
2026-09-09,IONQ,40.47,USD,sheet
2026-09-09,IQE,47.73,GBX,sheet
2026-09-09,IREN,46.93,USD,sheet
2026-09-09,JBL,312.33,USD,sheet
2026-09-09,JD,27.68,USD,sheet
2026-09-09,KLAC,188.98,USD,sheet
2026-09-09,LITE,978.54,USD,sheet
2026-09-09,LPK.DE,13.55,EUR,sheet
2026-09-09,LRCX,320.42,USD,sheet
2026-09-09,LWLG,5.6,USD,sheet
2026-09-09,MELI,1921.96,USD,sheet
2026-09-09,META,613.48,USD,sheet
2026-09-09,MRVL,225.41,USD,sheet
2026-09-09,MSFT,493.95,USD,sheet
2026-09-09,MTSI,274.8,USD,sheet
2026-09-09,MU,1000.26,USD,sheet
2026-09-09,NBIS,243.88,USD,sheet
2026-09-09,NFLX,76.77,USD,sheet
2026-09-09,NOK,10.65,USD,sheet
2026-09-09,NVDA,225.73,USD,sheet
2026-09-09,NVTS,12,USD,sheet
2026-09-09,ORCL,162.52,USD,sheet
2026-09-09,OUST,37.49,USD,sheet
2026-09-09,POET,8.31,USD,sheet
2026-09-09,QBTS,17.67,USD,sheet
2026-09-09,QCOM,174.09,USD,sheet
2026-09-09,QQQ,718.36,USD,sheet
2026-09-09,RDDT,144.64,USD,sheet
2026-09-09,RGTI,15.81,USD,sheet
2026-09-09,RKLB,62.54,USD,sheet
2026-09-09,SHAZ,57.63,USD,sheet
2026-09-09,SIMO,272.02,USD,sheet
2026-09-09,SIVE,30.24,SEK,sheet
2026-09-09,SMH,573.73,USD,sheet
2026-09-09,SMHD,2.37,USD,sheet
2026-09-09,SMTC,162.62,USD,sheet
2026-09-09,SNDK,1737.99,USD,sheet
2026-09-09,SOI,0.18,CAD,sheet
2026-09-09,SOI.PA,146.35,EUR,sheet
2026-09-09,SPCX,153.47,USD,sheet
2026-09-09,TER,372.06,USD,sheet
2026-09-09,TSEM,219.82,USD,sheet
2026-09-09,TSLA,368.16,USD,sheet
2026-09-09,TSM,439,USD,sheet
2026-09-09,UBER,73.13,USD,sheet
2026-09-09,UPWK,8.32,USD,sheet
2026-09-09,VECO,45.59,USD,sheet
2026-09-09,VPG,64.68,USD,sheet
2026-09-09,VRT,290.83,USD,sheet
2026-09-09,WLAC,18.83,USD,sheet
2026-09-09,WULF,17.86,USD,sheet
2026-09-09,XFAB,6.37,EUR,sheet
2026-09-09,XPEV,10.93,USD,sheet
2026-09-09,KLA,159.94,EUR,sheet
2026-09-10,000660.KS,1.83e+06,KRW,sheet
2026-09-10,AAOI,107.93,USD,sheet
2026-09-10,AAPL,315.34,USD,sheet
2026-09-10,ACMR,73.83,USD,sheet
2026-09-10,AEHR,95.56,USD,sheet
2026-09-10,AEVA,15.62,USD,sheet
2026-09-10,AGLT,1,USD,sheet
2026-09-10,ALAB,300.54,USD,sheet
2026-09-10,ALMU,13.3,USD,sheet
2026-09-10,AMAT,468.85,USD,sheet
2026-09-10,AMD,521.1,USD,sheet
2026-09-10,AMKR,51.35,USD,sheet
2026-09-10,AMZN,252.4,USD,sheet
2026-09-10,ARM,264.23,USD,sheet
2026-09-10,ASML,1729.52,USD,sheet
2026-09-10,ASTS,65.06,USD,sheet
2026-09-10,ASX,41.2,USD,sheet
2026-09-10,AVGO,364.38,USD,sheet
2026-09-10,AXTI,68.91,USD,sheet
2026-09-10,BABA,109.4,USD,sheet
2026-09-10,BE,269.28,USD,sheet
2026-09-10,BOT,27.14,USD,sheet
2026-09-10,BRUN,17.36,USD,sheet
2026-09-10,BULL,9.42,USD,sheet
2026-09-10,BWA,65.26,USD,sheet
2026-09-10,CAMT,148.66,USD,sheet
2026-09-10,CATL,336.84,CNY,sheet
2026-09-10,CBRS,196.2,USD,sheet
2026-09-10,CCXI,13.2,USD,sheet
2026-09-10,CEG,293.9,USD,sheet
2026-09-10,CIFR,16.9,USD,sheet
2026-09-10,COHR,303.48,USD,sheet
2026-09-10,COIN,174.72,USD,sheet
2026-09-10,CRCL,62.61,USD,sheet
2026-09-10,CRWV,94.94,USD,sheet
2026-09-10,DASH,197.25,USD,sheet
2026-09-10,DJT,8.71,USD,sheet
2026-09-10,DRAM,5.9,USD,sheet
2026-09-10,ENS,179.1,USD,sheet
2026-09-10,EOS,21.37,USD,sheet
